PI,Subpopulation,Cluster,Race,Origin,DTA,PH,GN,GW,GY,FLH,PL,BL
PI152651,Caudatum,4,0,NA,66,146.61,1286,27.32,43.95,97,14.33333333,57.95
PI17548,Kafir,2,0,NA,66,214.06,1167,15.62,26.66,156.8333333,22.83333333,83.41666667
PI24969,Durra,3,0,NA,80,182.06,1319,29.92,50.86,162,13.33333333,41.83333333
PI329435,Mixed,1,0,NA,80,95.5,1388,15.68,30.47,65.83333333,26,72.58333333
PI329440,Kafir,2,0,NA,69,93.61,2141,17.61,48.35,58,23.83333333,67.16666667
PI34911,Caudatum,4,0,NA,87,179.67,1587,25.5,52.56,150,14.33333333,39.75
PI35038,Kafir,2,0,NA,76,203.6,1199,18.05,23.29,182,12.66666667,47.75
PI48770,Kafir,2,0,NA,57,139.28,576,31.74,24.07,108.6666667,14.33333333,52.375
PI533750,Durra,3,1,India,73,83,655,22.43,19.57,39.66666667,21.66666667,95.33333333
PI533752,Caudatum,4,3,S. Africa,79,112.22,1526,31.58,61.54,73.66666667,22.5,76.75
PI533754,Durra,3,1,Sudan,67,92.11,610,19.64,16.61,56.5,23.5,83.66666667
PI533755,Caudatum,4,3,Sudan,59,64.72,636,31.37,24.22,41.66666667,14.5,52.47083333
PI533757,Caudatum,4,13,Sudan,78,90.89,1111,23.08,33.96,69,15,40.66666667
PI533758,Caudatum,4,3,Sudan,76,95.39,1470,21.07,38.49,76.66666667,18,53.16666667
PI533759,Caudatum,4,3,Sudan,72,108.86,1656,24.61,47.04,85,22.33333333,67
PI533760,Caudatum,4,3,Sudan,75,73.61,1993,20.86,54.57,60.33333333,17.66666667,61.41666667
PI533761,Caudatum,4,3,Ethiopia,77,129,1022,37.52,49.02,93.33333333,22.66666667,72.33333333
PI533762,Caudatum,4,14,Sudan,67,78.95,1177,32.75,46.12,55.16666667,16,47.58333333
PI533766,Guinea,5,2,W. Volta,68,106.5,1097,16.93,26.47,65.83333333,22.5,75.08333333
PI533769,Caudatum,4,13,Sudan,73,55.67,1162,22.96,32.42,44.16666667,17,53.66666667
PI533776,Guinea,5,3,Nigeria,71,125.83,1035,31.61,45.05,89.08005691,29.54478518,84.06674916
PI533785,Guinea,5,2,Nigeria,66,119.06,1167,31.64,49.71,71.83333333,43.66666667,131.6666667
PI533788,Mixed,1,14,Sudan,69,72.95,927,21.62,27.29,50.66666667,11.16666667,38.88333333
