PI,Q4,Q3,Q5,Q2,Q1
PI152651,0.743428,0.256542,0.00001,0.00001,0.00001
PI17548,0.00001,0.320164,0.00001,0.502888,0.176928
PI24969,0.00001,0.871827,0.00001,0.00001,0.128143
PI329435,0.410096,0.002344,0.081224,0.288882,0.217454
PI329440,0.213324,0.108752,0.00001,0.535767,0.142147
PI34911,0.99996,0.00001,0.00001,0.00001,0.00001
PI35038,0.00001,0.00001,0.00001,0.731343,0.268627
PI48770,0.000016,0.00001,0.00001,0.999954,0.00001
PI533750,0.00001,0.870751,0.00001,0.00001,0.129219
PI533752,0.710289,0.00001,0.00001,0.061452,0.228239
PI533754,0.08657,0.606534,0.126264,0.00001,0.180622
PI533755,0.564379,0.265704,0.00001,0.00001,0.169897
PI533757,0.887839,0.00001,0.00001,0.00001,0.112131
PI533758,0.841493,0.00001,0.00001,0.00001,0.158477
PI533759,0.878289,0.00001,0.00001,0.00001,0.121681
PI533760,0.903071,0.00001,0.00001,0.000013,0.096895
PI533761,0.736298,0.050267,0.058213,0.02215,0.133073
PI533762,0.601046,0.058333,0.081653,0.035819,0.223149
PI533766,0.00001,0.00001,0.807352,0.00001,0.192618
PI533769,0.720413,0.043819,0.042818,0.00001,0.19294
PI533776,0.00001,0.000017,0.99995,0.000013,0.00001
PI533785,0.00001,0.00001,0.937296,0.00001,0.062674
PI533788,0.444963,0.433709,0.00001,0.006042,0.115276
PI533789,0.601756,0.107441,0.00251,0.00001,0.288283
PI533792,0.800935,0.00001,0.00001,0.00001,0.199035
PI533794,0.99996,0.00001,0.00001,0.00001,0.00001
PI533799,0.929002,0.00001,0.00001,0.00001,0.070968
PI533800,0.770962,0.03043,0.00001,0.00001,0.198588
PI533807,0.755799,0.00001,0.094604,0.00001,0.149577
PI533810,0.00001,0.914808,0.00001,0.00001,0.085162
PI533814,0.00001,0.858195,0.00001,0.00001,0.141775
PI533821,0.175747,0.00001,0.362221,0.282155,0.179867
PI533822,0.692677,0.00001,0.127443,0.089928,0.089942
PI533824,0.105252,0.552928,0.176136,0.061442,0.104242
PI533830,0.999957,0.000013,0.00001,0.00001,0.00001
PI533831,0.00001,0.00001,0.00001,0.88597,0.114
PI533833,0.80862,0.00001,0.00001,0.00001,0.19135
PI533838,0.486924,0.028501,0.329644,0.098996,0.055935
PI533839,0.00001,0.00001,0.905862,0.094108,0.00001
PI533841,0.211131,0.02954,0.657136,0.029449,0.072744
PI533842,0.00001,0.749481,0.00001,0.00001,0.250489
PI533843,0.076722,0.331695,0.119814,0.361743,0.110026
PI533845,0.088304,0.116264,0.213794,0.500824,0.080814
PI533852,0.00001,0.828147,0.00001,0.056939,0.114894
PI533855,0.00001,0.144525,0.174658,0.461796,0.219011
PI533856,0.00001,0.77549,0.00001,0.00001,0.22448
PI533863,0.455245,0.120369,0.159732,0.143945,0.120709
PI533866,0.165211,0.031685,0.650536,0.044251,0.108318
PI533869,0.00001,0.00001,0.193067,0.439047,0.367866
PI533871,0.273991,0.00001,0.65618,0.069809,0.00001
PI533876,0.446765,0.040812,0.083653,0.024949,0.403821
PI533877,0.00001,0.00001,0.933394,0.000019,0.066567
PI533878,0.00001,0.00001,0.99996,0.00001,0.00001
PI533882,0.129319,0.034902,0.786729,0.00001,0.04904
PI533901,0.533365,0.127185,0.055241,0.083473,0.200736
PI533902,0.017233,0.658718,0.190606,0.018918,0.114525
PI533903,0.135352,0.61183,0.15763,0.095179,0.00001
PI533910,0.574953,0.018326,0.00001,0.062773,0.343938
PI533911,0.688052,0.076296,0.075833,0.037926,0.121893
PI533912,0.584245,0.00001,0.012189,0.111191,0.292365
PI533913,0.246191,0.00001,0.219045,0.121073,0.41368
PI533915,0.230188,0.190028,0.19937,0.380404,0.00001
PI533919,0.00001,0.778382,0.103414,0.00001,0.118184
PI533924,0.00001,0.506735,0.181632,0.105903,0.205721
PI533927,0.059231,0.164498,0.268865,0.339529,0.167877
PI533936,0.00001,0.00001,0.00001,0.932332,0.067638
PI533937,0.00001,0.00001,0.00001,0.869289,0.130681
PI533938,0.095744,0.088989,0.282323,0.392056,0.140889
PI533939,0.392454,0.078775,0.146234,0.221136,0.161401
PI533940,0.00001,0.158146,0.00001,0.713302,0.128533
PI533943,0.00001,0.566632,0.00001,0.214011,0.219337
PI533948,0.000013,0.00001,0.00001,0.874237,0.125731
PI533949,0.908479,0.024581,0.00001,0.066919,0.00001
PI533954,0.0905,0.00001,0.143077,0.766402,0.00001
PI533955,0.00001,0.00001,0.00001,0.881884,0.118086
PI533956,0.115236,0.095238,0.218061,0.416415,0.15505
PI533957,0.212847,0.088689,0.343436,0.215482,0.139547
PI533961,0.789803,0.00001,0.00001,0.014825,0.195352
PI533962,0.690841,0.00001,0.00001,0.00001,0.309129
PI533964,0.841477,0.000015,0.00001,0.00001,0.158489
PI533965,0.741064,0.009292,0.048412,0.00001,0.201223
PI533967,0.722168,0.00001,0.00001,0.00001,0.277802
PI533970,0.688809,0.00001,0.00001,0.00001,0.311161
PI533972,0.840043,0.00001,0.00001,0.00001,0.159927
PI533976,0.721321,0.00001,0.00001,0.007341,0.271317
PI533979,0.00001,0.024957,0.00001,0.917242,0.057781
PI533980,0.777863,0.091172,0.00001,0.00001,0.130945
PI533985,0.740819,0.00001,0.00001,0.00001,0.259151
PI533986,0.626224,0.00001,0.00001,0.00001,0.373746
PI533987,0.769318,0.066968,0.024909,0.00001,0.138794
PI533989,0.859869,0.00001,0.00001,0.00001,0.140101
PI533991,0.760717,0.00001,0.00001,0.093625,0.145637
PI533996,0.586607,0.156247,0.014906,0.069234,0.173007
PI533997,0.035632,0.034594,0.303378,0.379603,0.246792
PI534009,0.00001,0.702358,0.055533,0.060172,0.181928
PI534021,0.00001,0.897913,0.00001,0.00001,0.102057
PI534028,0.00001,0.756396,0.00001,0.063403,0.180181
PI534037,0.013767,0.00001,0.671532,0.185788,0.128903
PI534046,0.578492,0.044503,0.152968,0.224027,0.00001
PI534053,0.572226,0.110859,0.00001,0.039523,0.277382
PI534054,0.00001,0.00001,0.127242,0.582204,0.290534
PI534063,0.00001,0.00001,0.849414,0.00001,0.150556
PI534070,0.027123,0.00001,0.972842,0.000015,0.00001
PI534075,0.00001,0.00001,0.999834,0.000136,0.00001
PI534079,0.43101,0.00001,0.386501,0.00001,0.182469
PI534088,0.00001,0.00001,0.999953,0.000017,0.00001
PI534092,0.00001,0.00001,0.99996,0.00001,0.00001
PI534096,0.00001,0.00001,0.894127,0.083804,0.022048
PI534097,0.00001,0.133109,0.00001,0.831329,0.035542
PI534099,0.851407,0.00001,0.00001,0.00001,0.148563
PI534101,0.69902,0.00001,0.00001,0.059126,0.241834
PI534105,0.803258,0.00001,0.00001,0.058176,0.138546
PI534108,0.721987,0.00001,0.00001,0.06319,0.214802
PI534112,0.808759,0.00001,0.00001,0.00001,0.191211
PI534114,0.846066,0.00001,0.00001,0.073772,0.080142
PI534115,0.879541,0.00001,0.00001,0.00001,0.120429
PI534116,0.123814,0.520057,0.15866,0.197459,0.00001
PI534117,0.098036,0.020316,0.43439,0.351801,0.095457
PI534123,0.096145,0.545179,0.204657,0.044837,0.109181
PI534124,0.079989,0.52375,0.245917,0.035341,0.115003
PI534127,0.00001,0.845304,0.00001,0.03667,0.118005
PI534128,0.00001,0.847073,0.00001,0.027133,0.125774
PI534132,0.00001,0.853044,0.00001,0.100057,0.046879
PI534133,0.00001,0.878531,0.00001,0.00001,0.121439
PI534135,0.00001,0.771981,0.00001,0.00001,0.227989
PI534137,0.421619,0.220402,0.043711,0.006986,0.307281
PI534138,0.354481,0.052133,0.243507,0.093576,0.256302
PI534139,0.721155,0.044121,0.082532,0.148712,0.003479
PI534144,0.215072,0.078057,0.387243,0.155907,0.163721
PI534145,0.00001,0.00001,0.96722,0.00001,0.03275
PI534148,0.00001,0.883266,0.00001,0.00001,0.116704
PI534155,0.00001,0.787468,0.051877,0.038844,0.121801
PI534157,0.851138,0.000013,0.00001,0.00001,0.148829
PI534163,0.578831,0.00001,0.00001,0.332393,0.088756
PI534167,0.025628,0.673429,0.01218,0.106314,0.182449
PI540816,0.485327,0.097889,0.31493,0.03101,0.070844
PI542406,0.473532,0.244919,0.073166,0.029556,0.178828
PI542718,0.00001,0.899668,0.00001,0.00001,0.100302
PI548797,0.820161,0.059308,0.00001,0.120511,0.00001
PI552856,0.560163,0.000011,0.00001,0.439806,0.00001
PI552861,0.227384,0.00001,0.00001,0.677696,0.0949
PI561071,0.434728,0.261925,0.145376,0.157961,0.00001
PI561072,0.566209,0.00001,0.00001,0.254093,0.179678
PI561073,0.500749,0.00001,0.080606,0.304231,0.114404
PI561472,0.903332,0.00001,0.00001,0.021267,0.075382
PI564163,0.386756,0.00001,0.00001,0.434859,0.178365
PI564164,0.5501,0.35767,0.00001,0.09221,0.00001
PI564165,0.601167,0.319611,0.00001,0.079202,0.00001
PI565121,0.874923,0.00001,0.009622,0.000013,0.115432
PI566819,0.045526,0.00001,0.00001,0.778525,0.175928
PI576130,0.845351,0.029341,0.00001,0.125288,0.00001
PI576332,0.00001,0.031233,0.00001,0.787924,0.180822
PI576333,0.00001,0.00001,0.00001,0.907151,0.092819
PI576339,0.00001,0.00001,0.00001,0.860139,0.139831
PI576340,0.00001,0.00001,0.00001,0.824653,0.175317
PI576345,0.00001,0.00001,0.00001,0.842322,0.157648
PI576347,0.213428,0.288006,0.136727,0.155242,0.206597
PI576348,0.005169,0.462885,0.193078,0.196659,0.14221
PI576349,0.047935,0.503381,0.164004,0.163244,0.121437
PI576350,0.034159,0.341794,0.196322,0.320763,0.106963
PI576352,0.00001,0.00001,0.00001,0.887776,0.112194
PI576359,0.025333,0.568405,0.078929,0.147452,0.179881
PI576364,0.000019,0.00001,0.00001,0.870792,0.129169
PI576366,0.305594,0.370255,0.014033,0.127919,0.182199
PI576373,0.334124,0.106444,0.00001,0.44002,0.119402
PI576375,0.00001,0.721369,0.100795,0.046317,0.131508
PI576376,0.00001,0.842225,0.00001,0.00001,0.157745
PI576380,0.91959,0.00001,0.00001,0.00001,0.08038
PI576381,0.00001,0.715014,0.00001,0.00001,0.284956
PI576385,0.00001,0.00001,0.443484,0.429192,0.127304
PI576386,0.791731,0.020992,0.030136,0.021271,0.135871
PI576387,0.842687,0.00001,0.00001,0.00001,0.157283
PI576390,0.00001,0.768863,0.00001,0.104509,0.126607
PI576391,0.00001,0.929149,0.00001,0.018283,0.052548
PI576393,0.514568,0.035912,0.216606,0.101365,0.131549
PI576394,0.00001,0.054498,0.00001,0.852136,0.093346
PI576396,0.904928,0.00001,0.036849,0.058203,0.00001
PI576399,0.266085,0.00001,0.4054,0.191294,0.137211
PI576401,0.00001,0.844766,0.00001,0.00001,0.155204
PI576418,0.00001,0.00001,0.999957,0.000013,0.00001
PI576422,0.00001,0.00001,0.00001,0.867539,0.132431
PI576425,0.00001,0.832925,0.00001,0.00001,0.167045
PI576426,0.00001,0.702666,0.00001,0.000014,0.2973
PI576428,0.836486,0.00001,0.00001,0.041179,0.122315
PI576434,0.807468,0.045437,0.086137,0.060947,0.00001
PI576435,0.641467,0.105382,0.003395,0.122409,0.127347
PI576437,0.412914,0.144058,0.196596,0.068012,0.178421
PI585291,0.456447,0.383796,0.026513,0.133234,0.00001
PI585295,0.380086,0.013978,0.408105,0.103596,0.094236
PI595699,0.00001,0.818298,0.00001,0.052466,0.129217
PI595702,0.00001,0.00001,0.00001,0.909583,0.090387
PI595714,0.845294,0.028822,0.00001,0.00001,0.125864
PI595718,0.656378,0.074858,0.05443,0.00001,0.214324
PI595720,0.00001,0.719098,0.00001,0.00001,0.280872
PI595739,0.844309,0.00001,0.00001,0.00001,0.155661
PI595740,0.43639,0.079256,0.034528,0.347757,0.102069
PI595741,0.00001,0.00001,0.476188,0.227992,0.2958
PI595743,0.103764,0.128717,0.152678,0.475031,0.13981
PI595744,0.390716,0.014077,0.124267,0.279545,0.191394
PI595745,0.736554,0.019296,0.00001,0.035453,0.208686
PI597945,0.112744,0.650614,0.077093,0.054655,0.104894
PI597946,0.459842,0.139472,0.026368,0.299093,0.075225
PI597949,0.070955,0.106075,0.210794,0.455956,0.15622
PI597950,0.076359,0.273189,0.139896,0.346223,0.164333
PI597951,0.00001,0.00001,0.905464,0.056202,0.038315
PI597952,0.50033,0.00001,0.00001,0.077007,0.422643
PI597957,0.00001,0.741113,0.046558,0.097619,0.1147
PI597958,0.375932,0.096191,0.10542,0.422446,0.00001
PI597960,0.058344,0.00001,0.812375,0.017616,0.111656
PI597961,0.784612,0.00001,0.00001,0.022526,0.192842
PI597964,0.782091,0.00001,0.00001,0.00001,0.217879
PI597965,0.884078,0.00001,0.00001,0.00001,0.115892
PI597966,0.825297,0.00001,0.00001,0.014529,0.160155
PI597967,0.900992,0.00001,0.00001,0.005756,0.093231
PI597968,0.436834,0.255157,0.00001,0.03254,0.275459
PI597971,0.594526,0.130459,0.053539,0.06992,0.151557
PI597972,0.396115,0.307322,0.095898,0.00662,0.194046
PI597973,0.170555,0.468202,0.130543,0.00001,0.23069
PI597976,0.00001,0.00001,0.99996,0.00001,0.00001
PI597980,0.806867,0.00001,0.113954,0.00001,0.079159
PI597982,0.67084,0.045054,0.028194,0.086328,0.169584
PI598069,0.088532,0.79712,0.00001,0.114329,0.00001
PI598070,0.072387,0.817671,0.00001,0.109922,0.00001
PI601816,0.99996,0.00001,0.00001,0.00001,0.00001
PI607931,0.585161,0.00001,0.00001,0.331061,0.083758
PI609456,0.00001,0.00001,0.910751,0.089219,0.00001
PI613536,0.348535,0.458262,0.110267,0.00001,0.082926
PI629034,0.773582,0.00001,0.168905,0.057494,0.00001
PI629040,0.441018,0.390374,0.034792,0.133807,0.00001
